MAC Id,Login Time,Session Time,Download,Upload
xx:xx:xx:xx:xx:xx,25-06-25 9:05,0:31:45,386,15
xx:xx:xx:xx:xx:xx,25-06-25 8:33,0:29:16,306,24
xx:xx:xx:xx:xx:xx,25-06-25 8:04,0:30:26,549,39
xx:xx:xx:xx:xx:xx,25-06-25 7:33,0:30:10,357,16
xx:xx:xx:xx:xx:xx,25-06-25 7:03,0:27:14,383,11
xx:xx:xx:xx:xx:xx,25-06-25 6:36,0:32:05,174,5
xx:xx:xx:xx:xx:xx,25-06-25 6:04,0:29:04,15,3
xx:xx:xx:xx:xx:xx,25-06-25 5:35,0:31:53,12,2
xx:xx:xx:xx:xx:xx,25-06-25 5:00,0:05:59,0,0
xx:xx:xx:xx:xx:xx,25-06-25 4:54,0:27:35,119,5
xx:xx:xx:xx:xx:xx,25-06-25 4:26,0:27:28,12,2
xx:xx:xx:xx:xx:xx,25-06-25 3:58,0:30:10,84,4
xx:xx:xx:xx:xx:xx,25-06-25 3:28,0:31:54,36,2
xx:xx:xx:xx:xx:xx,25-06-25 2:56,0:32:07,1,1
xx:xx:xx:xx:xx:xx,25-06-25 2:24,0:32:07,2,1
xx:xx:xx:xx:xx:xx,25-06-25 1:52,0:27:17,1,1
xx:xx:xx:xx:xx:xx,25-06-25 1:25,0:32:24,1,1
xx:xx:xx:xx:xx:xx,25-06-25 0:53,0:31:54,10,2
xx:xx:xx:xx:xx:xx,25-06-25 0:21,0:28:02,390,5
xx:xx:xx:xx:xx:xx,24-06-25 23:53,0:28:59,791,18
xx:xx:xx:xx:xx:xx,24-06-25 23:24,0:29:53,1830,104
xx:xx:xx:xx:xx:xx,24-06-25 22:54,0:31:06,533,59
xx:xx:xx:xx:xx:xx,24-06-25 22:23,0:30:50,816,42
xx:xx:xx:xx:xx:xx,24-06-25 21:52,0:32:39,2583,107
xx:xx:xx:xx:xx:xx,24-06-25 21:19,0:29:05,1747,64
xx:xx:xx:xx:xx:xx,24-06-25 20:50,0:28:20,742,29
xx:xx:xx:xx:xx:xx,24-06-25 20:22,0:28:53,689,29
xx:xx:xx:xx:xx:xx,24-06-25 19:53,0:27:44,494,20
xx:xx:xx:xx:xx:xx,24-06-25 19:25,0:27:53,471,20
xx:xx:xx:xx:xx:xx,24-06-25 18:57,0:30:36,2218,42
xx:xx:xx:xx:xx:xx,24-06-25 18:27,0:29:27,10548,218
xx:xx:xx:xx:xx:xx,24-06-25 17:57,0:28:02,2908,66
xx:xx:xx:xx:xx:xx,24-06-25 17:29,0:29:38,891,32
xx:xx:xx:xx:xx:xx,24-06-25 16:59,0:31:51,839,30
xx:xx:xx:xx:xx:xx,24-06-25 16:28,0:28:30,924,32
xx:xx:xx:xx:xx:xx,24-06-25 15:59,0:28:25,1354,59
xx:xx:xx:xx:xx:xx,24-06-25 15:31,0:28:22,1297,38
xx:xx:xx:xx:xx:xx,24-06-25 15:02,0:31:42,1320,35
xx:xx:xx:xx:xx:xx,24-06-25 14:31,0:29:57,1134,30
xx:xx:xx:xx:xx:xx,24-06-25 14:01,0:29:33,2991,74
xx:xx:xx:xx:xx:xx,24-06-25 13:31,0:29:39,1501,38
xx:xx:xx:xx:xx:xx,24-06-25 13:02,0:30:21,1464,45
xx:xx:xx:xx:xx:xx,24-06-25 12:31,0:30:06,1480,54
xx:xx:xx:xx:xx:xx,24-06-25 12:01,0:32:09,456,21
xx:xx:xx:xx:xx:xx,24-06-25 11:29,0:29:35,1699,70
xx:xx:xx:xx:xx:xx,24-06-25 10:59,0:30:20,725,40
xx:xx:xx:xx:xx:xx,24-06-25 10:29,0:30:37,978,131
xx:xx:xx:xx:xx:xx,24-06-25 9:58,0:27:34,732,24
xx:xx:xx:xx:xx:xx,24-06-25 9:31,0:30:00,732,23
xx:xx:xx:xx:xx:xx,24-06-25 9:01,0:30:21,697,20
xx:xx:xx:xx:xx:xx,24-06-25 8:30,0:28:19,304,16
xx:xx:xx:xx:xx:xx,24-06-25 8:02,0:27:31,338,20
xx:xx:xx:xx:xx:xx,24-06-25 7:35,0:30:34,7226,169
xx:xx:xx:xx:xx:xx,24-06-25 7:04,0:29:05,3823,163
xx:xx:xx:xx:xx:xx,24-06-25 6:35,0:30:50,143,11
xx:xx:xx:xx:xx:xx,24-06-25 6:04,0:31:20,5,2
xx:xx:xx:xx:xx:xx,24-06-25 5:33,0:32:02,14,2
xx:xx:xx:xx:xx:xx,24-06-25 5:00,0:21:53,109,2
xx:xx:xx:xx:xx:xx,24-06-25 4:38,0:27:39,90,2
xx:xx:xx:xx:xx:xx,24-06-25 4:10,0:28:59,179,4
xx:xx:xx:xx:xx:xx,24-06-25 3:41,0:29:53,245,6
xx:xx:xx:xx:xx:xx,24-06-25 3:11,0:27:27,1,1
xx:xx:xx:xx:xx:xx,24-06-25 2:44,0:27:34,10,1
xx:xx:xx:xx:xx:xx,24-06-25 2:16,0:27:37,11,1
xx:xx:xx:xx:xx:xx,24-06-25 1:48,0:31:19,4,2
xx:xx:xx:xx:xx:xx,24-06-25 1:17,0:31:40,1,1
xx:xx:xx:xx:xx:xx,24-06-25 0:46,0:32:12,1,1
xx:xx:xx:xx:xx:xx,24-06-25 0:13,0:30:39,7,1
xx:xx:xx:xx:xx:xx,23-06-25 23:43,0:32:13,175,14
xx:xx:xx:xx:xx:xx,23-06-25 23:10,0:31:33,746,29
xx:xx:xx:xx:xx:xx,23-06-25 22:39,0:55:58,1991,85
xx:xx:xx:xx:xx:xx,23-06-25 21:43,0:32:55,437,30
xx:xx:xx:xx:xx:xx,23-06-25 21:10,0:29:40,905,253
xx:xx:xx:xx:xx:xx,23-06-25 20:40,0:29:45,1088,43
xx:xx:xx:xx:xx:xx,23-06-25 20:11,0:31:39,1893,64
xx:xx:xx:xx:xx:xx,23-06-25 19:39,0:29:51,1383,49
xx:xx:xx:xx:xx:xx,23-06-25 19:09,0:31:53,920,3254
xx:xx:xx:xx:xx:xx,23-06-25 18:37,0:28:21,1051,729
xx:xx:xx:xx:xx:xx,23-06-25 18:09,0:28:40,1027,57
xx:xx:xx:xx:xx:xx,23-06-25 17:40,0:29:23,712,27
xx:xx:xx:xx:xx:xx,23-06-25 17:11,0:31:25,850,41
xx:xx:xx:xx:xx:xx,23-06-25 16:39,0:32:39,721,42
xx:xx:xx:xx:xx:xx,23-06-25 16:07,0:27:05,492,14
xx:xx:xx:xx:xx:xx,23-06-25 15:40,0:29:36,263,10
xx:xx:xx:xx:xx:xx,23-06-25 15:10,0:27:53,592,30
xx:xx:xx:xx:xx:xx,23-06-25 15:10,0:00:00,0,0
xx:xx:xx:xx:xx:xx,23-06-25 14:42,0:32:19,890,38
xx:xx:xx:xx:xx:xx,23-06-25 14:42,0:00:00,0,0
xx:xx:xx:xx:xx:xx,23-06-25 14:10,0:28:28,399,17
xx:xx:xx:xx:xx:xx,23-06-25 13:41,0:32:06,3465,197
xx:xx:xx:xx:xx:xx,23-06-25 13:09,0:29:20,535,8171
